Sub-Domain,"Invoice #","POS Date","Product Type","Manufacturer name","Category name","Product Name",SKU,"Qty Sold",Price,Total
tesco,24333,"06-06-26 2:59 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,13.00,13.00
tesco,24332,"06-06-26 2:58 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
tesco,24331,"06-06-26 2:56 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,13.00,13.00
gort1,24052,"06-06-26 2:50 pm",Standard,.,Vape,". LIQUID 20",595655,1,15.00,15.00
phonelab,10450,"06-06-26 2:45 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
phonelab,10449,"06-06-26 2:39 pm",Standard,,Vape,"Disposable Vape (10)",VAP10,1,20.00,20.00
phonelab,10448,"06-06-26 2:38 pm",Standard,Hoco,Hoco,"Hoco Hoco W35 Air Free 45h Wireless BT Built-in MP3 Headphone",6942007616348,1,35.00,35.00
phonelab,10447,"06-06-26 2:38 pm",Standard,Hoco,Hoco,"Hoco Hoco W35 Air Free 45h Wireless BT Built-in MP3 Headphone",6942007616348,1,35.00,35.00
tesco,24329,"06-06-26 2:26 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,13.00,13.00
tesco,24328,"06-06-26 2:13 pm",Standard,,Amazon,"Amazon Firestick 4K",1030794,1,65.00,65.00
tesco,24326,"06-06-26 2:07 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
tesco,24325,"06-06-26 2:06 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
tesco,24324,"06-06-26 2:01 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,8.00,8.00
tesco,24323,"06-06-26 1:50 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
tesco,24322,"06-06-26 1:50 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,0.00,0.00
gort1,24051,"06-06-26 1:48 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
gort1,24051,"06-06-26 1:48 pm",Standard,.,Vape,". Coil",424281,1,5.00,5.00
tesco,24321,"06-06-26 1:47 pm",Standard,,,"Hoco CS32B PD20W+QC3.0 Charger Set Dual Port",6942007617499,1,25.00,25.00
phonelab,10446,"06-06-26 1:31 pm",Standard,,Accessories,"intenso memory",1495816,1,45.00,45.00
phonelab,10446,"06-06-26 1:31 pm",Standard,,Accessories,"Gorilla Tempered Glass / Screen Protector",GSP06,1,10.00,10.00
gort1,24049,"06-06-26 1:29 pm",Standard,,Accessories,"Mobile Cover and Temper glass",1430320,1,30.00,30.00
tesco,24320,"06-06-26 1:24 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
tesco,24319,"06-06-26 1:20 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
phonelab,10445,"06-06-26 1:19 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,16.00,16.00
gort1,24048,"06-06-26 1:14 pm",Standard,,Accessories,"Apple Lightning Cable",539804,1,20.00,20.00
tesco,24318,"06-06-26 1:11 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,8.00,8.00
gort1,24047,"06-06-26 1:09 pm",Standard,.,Vape,". LIQUID 10",571568,1,10.00,10.00
tesco,24316,"06-06-26 12:59 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,8.00,8.00
tesco,24315,"06-06-26 12:55 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
tesco,24314,"06-06-26 12:54 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,13.00,13.00
gort1,24046,"06-06-26 12:43 pm",Standard,.,Vape,". LIQUID 20",595655,1,15.00,15.00
tesco,24313,"06-06-26 12:32 pm",Standard,,,"Hoco CS32B PD20W+QC3.0 Charger Set Dual Port",6942007617499,1,25.00,25.00
phoneshop,17897,"06-06-26 12:30 pm",Standard,,"IT Support","Software Support",646780,1,10.00,10.00
tesco,24312,"06-06-26 12:26 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
tesco,24311,"06-06-26 12:25 pm",Standard,h,"Mobile Covers","h Car charger",149417,1,20.00,20.00
tesco,24310,"06-06-26 12:22 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
tesco,24309,"06-06-26 12:20 pm",Standard,Budi,Accessories,"Budi Type C 1M Cable",6971536926710,1,15.00,15.00
tesco,24308,"06-06-26 12:03 pm",Standard,Hoco,Accessories,"Hoco Hoco GM103 Smooth Series Universal Active Stylus Pen (Black)",6931474767110,1,5.00,5.00
phonelab,10443,"06-06-26 12:03 pm",Standard,,Accessories,"Privacy Tempered Glass / Screen Protector",GSP05,1,15.00,15.00
phonelab,10442,"06-06-26 12:03 pm",Standard,,Accessories,"Gorilla Tempered Glass / Screen Protector",GSP06,1,10.00,10.00
tesco,24307,"06-06-26 12:00 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
gort1,24045,"06-06-26 11:56 am",Standard,,Vape,"Liquid (25)",1226462,1,16.00,16.00
phonelab,10441,"06-06-26 11:47 am",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
phonelab,10439,"06-06-26 11:36 am",Standard,,Accessories,"Clip Car Phone Holder",1546607,1,20.00,20.00
tesco,24305,"06-06-26 11:27 am",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,18.00,18.00
tesco,24304,"06-06-26 11:21 am",Standard,,Dumpling,"Squishy Bao Dumpling",1626768,1,26.00,26.00
gort1,24044,"06-06-26 11:21 am",Standard,,Vape,"Disposable Vape (30)",VAP30,1,50.00,50.00
gort1,24044,"06-06-26 11:21 am",Standard,,Vape,"LIQUID 8",1017597,4,8.00,32.00
gort1,24043,"06-06-26 11:18 am",Standard,,Accessories,"Mobile Cover and Temper glass",1430320,1,28.00,28.00
tesco,24303,"06-06-26 11:16 am",Standard,,,"Gen Wireless Charger",WCF,1,25.00,25.00
phonelab,10435,"06-06-26 10:55 am",Standard,,Accessories,"Charger/ adapter / Plug Generic",PLUG,1,25.00,25.00
tesco,24302,"06-06-26 10:55 am",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,8.00,8.00
tesco,24301,"06-06-26 10:55 am",Standard,,Dumpling,"Squishy Bao Dumpling",1626768,1,10.00,10.00
gort1,24042,"06-06-26 10:52 am",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
phonelab,10434,"06-06-26 10:51 am",Standard,,Accessories,"Charger/ adapter / Plug Generic",PLUG,1,25.00,25.00
phonelab,10434,"06-06-26 10:51 am",Standard,Baseus,Baseus,"Baseus Baseus Cable",FCAB,1,25.00,25.00
phonelab,10433,"06-06-26 10:45 am",Standard,,Accessories,"Gorilla Tempered Glass / Screen Protector",GSP06,1,10.00,10.00
tesco,24300,"06-06-26 10:36 am",Standard,Aokus,Accessories,"Aokus Wallet",1021006,1,10.00,10.00
gort1,24041,"06-06-26 10:22 am",Standard,,Accessories,"Mobile Cover and Temper glass",1430320,1,20.00,20.00
phonelab,10432,"06-06-26 9:46 am",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
phonelab,10431,"06-06-26 9:45 am",Standard,,Accessories,"UK Plug",651839,1,5.00,5.00
phonelab,10430,"06-06-26 9:45 am",Standard,,Vape,"Disposable Vape (10)",VAP10,1,10.00,10.00
gort1,24040,"05-06-26 6:06 pm",Standard,.,Vape,". Coil",424281,1,5.00,5.00
istore,32481,"05-06-26 5:55 pm",Standard,.,Vape,". LIQUID 50",424282,1,54.00,54.00
tesco,24299,"05-06-26 5:54 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,33.00,33.00
phonelab,10429,"05-06-26 5:53 pm",Standard,,Accessories,"Extra / Cash Overage Adjustment",0000,1,3.00,3.00
phonelab,10428,"05-06-26 5:46 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
gort1,24039,"05-06-26 5:44 pm",Standard,,Vape,"Disposable Vape (7)",VAP7,1,20.00,20.00
istore,32480,"05-06-26 5:43 pm",Standard,.,Vape,". LIQUID 50",424282,-1,67.00,-67.00
phoneshop,17895,"05-06-26 5:39 pm",Standard,"Lyca Mobile",Lyca,"Lyca Mobile Lyca Sim 15",1182205,1,15.00,15.00
istore,32479,"05-06-26 5:38 pm",Standard,.,Vape,". LIQUID 50",424282,1,70.00,70.00
tesco,24297,"05-06-26 5:38 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
gort1,24038,"05-06-26 5:38 pm",Standard,,Accessories,"Galaxy Watch",1553062,1,90.00,90.00
phonelab,10427,"05-06-26 5:32 pm",Standard,,Accessories,"Gorilla Tempered Glass / Screen Protector",GSP06,1,10.00,10.00
gort1,24037,"05-06-26 5:32 pm",Standard,,,"JBL TUNE 510BT",1631948,1,60.00,60.00
tesco,24296,"05-06-26 5:30 pm",Standard,Budi,Accessories,"Budi Type C 2M Cable",6971536924990,1,15.00,15.00
istore,32478,"05-06-26 5:22 pm",Standard,.,Vape,". LIQUID 10",571568,1,20.00,20.00
istore,32477,"05-06-26 5:18 pm",Standard,.,Vape,". LIQUID 20",595655,1,25.00,25.00
tesco,24295,"05-06-26 5:17 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
istore,32476,"05-06-26 5:08 pm",Standard,.,Vape,". LIQUID 20",595655,1,20.00,20.00
phoneshop,17894,"05-06-26 5:08 pm",Standard,,,"3 pin cable",1374379,1,15.00,15.00
tesco,24294,"05-06-26 5:06 pm",Standard,,Accessories,"Tempered Glass",TG1,1,10.00,10.00
istore,32475,"05-06-26 5:03 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
istore,32474,"05-06-26 4:52 pm",Standard,.,Vape,". LIQUID 10",571568,1,10.00,10.00
tesco,24293,"05-06-26 4:52 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
tesco,24292,"05-06-26 4:43 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
gort1,24036,"05-06-26 4:30 pm",Standard,,Vape,"LIQUID 8",1017597,2,8.00,16.00
istore,32473,"05-06-26 4:29 pm",Standard,.,Vape,". LIQUID 50",424282,1,63.00,63.00
phoneshop,17892,"05-06-26 4:25 pm",Standard,,,"3 pin cable",1374379,1,10.00,10.00
istore,32472,"05-06-26 4:21 pm",Standard,.,Vape,". LIQUID 20",595655,1,16.00,16.00
ipear,5495,"05-06-26 4:21 pm",Standard,Hoco,Accessories,"Hoco Hoco NZ9 Galloper 95W 3 Port(2C1A) Car Charger Black",6931474795113,1,35.00,35.00
tesco,24291,"05-06-26 4:20 pm",Standard,,Accessories,"Tempered Glass",TG1,1,10.00,10.00
phonelab,10426,"05-06-26 4:19 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,2,6.00,12.00
istore,32471,"05-06-26 4:18 pm",Standard,.,Vape,". LIQUID 20",595655,1,28.00,28.00
tesco,24290,"05-06-26 4:18 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,40.00,40.00
phonelab,10425,"05-06-26 4:07 pm",Standard,,Accessories,"Privacy Tempered Glass / Screen Protector",GSP05,1,15.00,15.00
phonelab,10424,"05-06-26 4:07 pm",Standard,.,Accessories,". Cover and tempered Glass",25,1,30.00,30.00
gort1,24035,"05-06-26 4:06 pm",Standard,,Accessories,"Apple - AirPods Pro 3, Wireless Active Noise Cancelling Earbuds",195950543698,1,45.00,45.00
phonelab,10423,"05-06-26 3:52 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
gort1,24034,"05-06-26 3:48 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
tesco,24289,"05-06-26 3:48 pm",Standard,Samsung,Accessories,"Samsung Samsung - 25W USB-C Wall Plug Black",8806090973352,1,25.00,25.00
gort1,24033,"05-06-26 3:43 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
phonelab,10422,"05-06-26 3:41 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,20.00,20.00
tesco,24288,"05-06-26 3:40 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,18.00,18.00
ipear,5493,"05-06-26 3:34 pm",Standard,,,"Gen Wireless Charger",WCF,1,25.00,25.00
phoneshop,17890,"05-06-26 3:33 pm",Standard,,Accessories,"HOCO CARHOLDER CA76",1164983,1,20.00,20.00
istore,32470,"05-06-26 3:27 pm",Standard,.,Vape,". LIQUID 50",424282,1,67.00,67.00
tesco,24286,"05-06-26 3:16 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,16.00,16.00
istore,32469,"05-06-26 3:10 pm",Standard,.,Vape,". LIQUID 50",424282,1,113.00,113.00
tesco,24285,"05-06-26 3:03 pm",Standard,,Watches,"Smart Watch",541724,1,60.00,60.00
tesco,24285,"05-06-26 3:03 pm",Standard,,Accessories,"Tempered Glass",TG1,1,10.00,10.00
istore,32468,"05-06-26 2:58 pm",Standard,.,Vape,". LIQUID 50",424282,1,28.00,28.00
gort1,24029,"05-06-26 2:56 pm",Standard,,Accessories,"Mobile Cover and Temper glass",1430320,1,20.00,20.00
gort1,24028,"05-06-26 2:55 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
phoneshop,17889,"05-06-26 2:55 pm",Standard,Compaq,"Laptop Sale (Used)","Compaq Compaq Laptop",195356,1,30.00,30.00
tesco,24284,"05-06-26 2:54 pm",Standard,.,Accessories,". Cover and tempered Glass",25,1,30.00,30.00
istore,32467,"05-06-26 2:52 pm",Standard,.,Vape,". LIQUID 20",595655,1,13.00,13.00
phonelab,10421,"05-06-26 2:51 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,20.00,20.00
phonelab,10420,"05-06-26 2:47 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
phonelab,10419,"05-06-26 2:47 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
gort1,24027,"05-06-26 2:45 pm",Standard,,Vape,"Disposable Vape (30)",VAP30,1,20.00,20.00
gort1,24026,"05-06-26 2:40 pm",Standard,,,"Xbox Wireless Controller",1506388,1,65.00,65.00
tesco,24283,"05-06-26 2:40 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,8.00,8.00
tesco,24282,"05-06-26 2:39 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,18.00,18.00
phonelab,10418,"05-06-26 2:39 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,30.00,30.00
phonelab,10417,"05-06-26 2:39 pm",Standard,,Accessories,"Gorilla Tempered Glass / Screen Protector",GSP06,1,10.00,10.00
gort1,24025,"05-06-26 2:37 pm",Standard,,,"JBL Wave Beam Handfree",1473095,1,25.00,25.00
tesco,24281,"05-06-26 2:36 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
istore,32466,"05-06-26 2:28 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
gort1,24024,"05-06-26 2:15 pm",Standard,.,Vape,". LIQUID 10",571568,1,10.00,10.00
istore,32465,"05-06-26 2:14 pm",Standard,.,Vape,". LIQUID 10",571568,1,10.00,10.00
istore,32464,"05-06-26 2:13 pm",Standard,,Accessories,"Tempered Glass",TG1,1,10.00,10.00
tesco,24279,"05-06-26 2:13 pm",Standard,,Accessories,"Pop Socket",148590,1,5.00,5.00
istore,32463,"05-06-26 2:13 pm",Standard,.,Vape,". LIQUID 10",571568,1,13.00,13.00
gort1,24023,"05-06-26 2:13 pm",Standard,,,"Loom Pod",1402591,1,50.00,50.00
istore,32462,"05-06-26 2:07 pm",Standard,.,Vape,". LIQUID 20",595655,1,32.00,32.00
istore,32461,"05-06-26 2:07 pm",Standard,.,Accessories,". Cover and tempered Glass",25,2,35.00,70.00
istore,32460,"05-06-26 1:37 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
istore,32459,"05-06-26 1:26 pm",Standard,.,Vape,". LIQUID 50",424282,1,26.00,26.00
istore,32458,"05-06-26 1:25 pm",Standard,Samsung,Accessories,"Samsung Samsung - 25W USB-C Wall Plug Black",8806090973352,1,20.00,20.00
istore,32457,"05-06-26 1:24 pm",Standard,.,Vape,". LIQUID 20",595655,1,24.00,24.00
istore,32456,"05-06-26 1:22 pm",Standard,.,Vape,". LIQUID 20",595655,1,26.00,26.00
istore,32455,"05-06-26 1:19 pm",Standard,.,Vape,". LIQUID 10",571568,1,10.00,10.00
phoneshop,17888,"05-06-26 1:06 pm",Standard,,,"3 pin cable",1374379,1,10.00,10.00
phonelab,10416,"05-06-26 1:01 pm",Standard,,Vape,"Disposable Vape (10)",VAP10,1,10.00,10.00
phonelab,10415,"05-06-26 12:59 pm",Standard,,"Computer Accessories","Ugreen multi-functional HUB USB Type C - 3x USB 3.2 Gen 1 / HDMI 4K 60Hz / SD and TF card reader gra",6957303863839,1,20.00,20.00
tesco,24278,"05-06-26 12:54 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,30.00,30.00
gort1,24022,"05-06-26 12:45 pm",Standard,,Accessories,"Gorilla Tempered Glass / Screen Protector",GSP06,1,10.00,10.00
gort1,24021,"05-06-26 12:31 pm",Standard,,Accessories,"Apple Type C cable",1181760,1,20.00,20.00
phonelab,10414,"05-06-26 12:26 pm",Standard,,Vape,vap20,VAP20,1,20.00,20.00
istore,32454,"05-06-26 12:23 pm",Standard,.,Vape,". LIQUID 10",571568,1,10.00,10.00
